"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"555","2017-03","generation.geothermal",0
"556","2017-03","generation.hydro.pumped.storage.aggregated",0
"557","2017-03","generation.hydro.pumped.storage.consumption",264229
"558","2017-03","generation.hydro.run.of.river.and.poundage",758156
"559","2017-03","generation.hydro.water.reservoir",1744905
"560","2017-03","generation.marine",0
"561","2017-03","generation.nuclear",5019672
"562","2017-03","generation.other",40531
"563","2017-03","generation.other.renewable",71094
"564","2017-03","generation.solar",1051413
"565","2017-03","generation.waste",212532
"566","2017-03","generation.wind.offshore",0
"567","2017-03","generation.wind.onshore",4178000
"568","2017-04","generation.biomass",404296
"569","2017-04","generation.fossil.brown.coal.lignite",302483
"570","2017-04","generation.fossil.coal.derived.gas",0
"571","2017-04","generation.fossil.gas",3722285
"572","2017-04","generation.fossil.hard.coal",2245912
"573","2017-04","generation.fossil.oil",188273
"574","2017-04","generation.fossil.oil.shale",0
"575","2017-04","generation.fossil.peat",0
"576","2017-04","generation.geothermal",0
"577","2017-04","generation.hydro.pumped.storage.aggregated",0
"578","2017-04","generation.hydro.pumped.storage.consumption",359174
"579","2017-04","generation.hydro.run.of.river.and.poundage",637220
"580","2017-04","generation.hydro.water.reservoir",1160219
"581","2017-04","generation.marine",0
"582","2017-04","generation.nuclear",4806996
"583","2017-04","generation.other",21520
"584","2017-04","generation.other.renewable",69099
"585","2017-04","generation.solar",1057556
"586","2017-04","generation.waste",221326
"587","2017-04","generation.wind.offshore",0
"588","2017-04","generation.wind.onshore",4134002
"589","2017-05","generation.biomass",526014
"590","2017-05","generation.fossil.brown.coal.lignite",372573
"591","2017-05","generation.fossil.coal.derived.gas",0
"592","2017-05","generation.fossil.gas",4086994
"593","2017-05","generation.fossil.hard.coal",3295116
"594","2017-05","generation.fossil.oil",217189
"595","2017-05","generation.fossil.oil.shale",0
"596","2017-05","generation.fossil.peat",0
"597","2017-05","generation.geothermal",0
"598","2017-05","generation.hydro.pumped.storage.aggregated",0
"599","2017-05","generation.hydro.pumped.storage.consumption",301848
